experiment,retriever,n,acc,acc_lo95,acc_hi95,acc_ci_pm,n_sh,acc_sh,acc_sh_lo95,acc_sh_hi95,idx_p50_s,idx_p95_s,gen_p50_s,gen_p95_s,tok_in,tok_out
oracle,oracle,200,0.515,0.445,0.585,0.07,50,0.56,0.42,0.7,0.0,0.0,1.02,3.314,103981,11260
dense,dense,200,0.46,0.39,0.53,0.07,50,0.54,0.4,0.68,7.403,8.432,0.969,5.751,234667,13267
bm25,bm25,200,0.39,0.325,0.46,0.07,50,0.44,0.3,0.58,0.06,0.065,0.846,3.925,230324,11460
tfidf,tfidf,200,0.35,0.285,0.415,0.065,50,0.44,0.3,0.58,0.159,0.167,0.75,3.51,228140,10539
onehot,onehot,200,0.315,0.25,0.38,0.065,50,0.38,0.24,0.52,0.059,0.066,0.755,2.485,219952,9422
dense_summarized,dense_summarized,200,0.28,0.22,0.345,0.065,50,0.34,0.22,0.48,72.644,79.472,0.897,3.252,22963593,1653239
mem0_lite,mem0_lite,50,0.08,0.02,0.16,0.08,50,0.08,0.02,0.16,251.875,274.397,0.243,0.33,21626348,1672932
